"hurdle_sample_typepoor_not_brain...sample_typegood_not_brain.logFC","hurdle_sample_typepoor_not_brain...sample_typegood_not_brain.fisherPval","hurdle_sample_typepoor_not_brain...sample_typegood_not_brain.fisherAdjPval"
0.465206209380286,0.64362761743608,1
-0.542875903093836,0.661370801013566,1
NA,0.271799129659215,1
-0.55280334902673,0.441181940320738,1
-0.199684129983607,0.739534500987456,1
-0.986013119523076,0.565192156088202,1
NA,1,1
-0.0535678809909466,0.952899638221306,1
-0.5436819439316,0.5641124703658,1
NA,1,1
NA,0.271799129659214,1
NA,0.999999999999998,1
0.813650183736457,0.157511035979995,1
-0.203682070364222,0.894104007949384,1
-0.211636462972469,0.643057256378805,1
-0.610544723710793,0.490083912664463,1
0.163519190292092,0.624374486675302,1
NA,0.999999999999999,1
0.841366190993438,0.133521722020767,1
0.827476875544441,0.187828891118081,1
NA,0.999999999999997,1
-1.22237565091768,0.10306154406714,1
1.85725331201454,0.118747400085488,1
-0.871579327071544,0.104305862307531,1
NA,0.999999999999999,1
0.45861735086609,0.688860829644376,1
-0.184234474428899,0.988022608161136,1
NA,0.999999999999999,1
0.912950375553434,0.0488064946752669,0.886697020045873
0.540413839815333,0.0889883850490507,1
-0.519406245100975,0.365335081757442,1
0.025859935008221,0.87377934479493,1
NA,0.999999999999999,1
NA,0.64729354115079,1
NA,0.999999999999999,1
-0.191196667912675,0.916828813383287,1
-1.55169922947871,0.0952410862875679,1
-0.606775224664393,0.711844374440773,1
-0.515226489670933,0.738780271871569,1
NA,0.442290339812015,1
0.00974257244645482,0.0137802510906401,0.523395887938427
-2.12249736519435,0.00550540147403831,0.3021939983095
0.284408029530797,0.753792492155811,1
NA,0.999999999999998,1
0.0459388456665544,0.909716558517602,1
0.41744894342115,0.78751999221249,1
1.09229947422711,0.114631458259221,1
NA,0.999999999999999,1
NA,0.271799129659216,1
NA,0.999999999999999,1
1.17803204622278,0.213231003243558,1
-1.33301997623317,0.253093245738758,1
NA,1,1
0.320014266562218,0.9378996069725,1
-0.266918983951443,0.4647519713395,1
-0.00447674840866026,0.901058676584894,1
0.181684353123944,0.385549717129018,1
0.161420072668679,0.810753509467501,1
0.0633264937654439,0.992168234375318,1
0.75931454694591,0.159002289190154,1
-0.551331898705377,0.423390934692645,1
NA,0.999999999999998,1
-0.265178071112113,0.912390977740856,1
0.123097114328145,0.839249756085858,1
NA,0.240146642783627,1
0.445464594981011,0.393115521970269,1
NA,0.999999999999999,1
NA,0.184882323145847,1
NA,0.282886615266182,1
NA,0.999999999999999,1
-0.9333368524099,0.0831304636914438,1
0.750995171811157,0.277685916351949,1
1.17989184039083,0.266017262858792,1
-0.0038782337828988,0.7762339571778,1
NA,0.262268272889106,1
1.7631441019906,0.304715067191959,1
NA,1,1
-0.181402948625404,0.394010119725532,1
-0.692960918392906,0.107459836388639,1
0.398302005803326,0.614558972644823,1
NA,0.999999999999999,1
-0.947444392475509,0.845807066439521,1
0.483120959102513,0.510784368669098,1
0.144609262502526,0.85618080399421,1
NA,0.240146642783627,1
0.968358878512972,0.458853873028002,1
0.194040737474601,0.821354505660366,1
NA,0.271799129637371,1
0.741331939993137,0.516916260152345,1
0.035374531762874,0.998979562126133,1
0.206727384695694,0.717905859905925,1
-0.294294125835756,0.404621464126833,1
0.130642347650296,0.61415790767712,1
-0.735503484023796,0.187249348806137,1
0.0348009597077291,0.987415858480717,1
-0.451352624771495,0.27266883099972,1
0.147056078470577,0.390950109375754,1
-0.129504047757211,0.921851565184847,1
-0.718477116455456,0.216295709444276,1
-0.161528735663294,0.475679372407004,1
-0.325454965551018,0.843870972460875,1
-0.305716193113172,0.499605395881777,1
NA,0.157798156322152,1
NA,0.999999999999999,1
NA,0.240146642783627,1
0.319906076952498,0.6355009285116,1
NA,0.479424225633287,1
-0.560265351217269,0.385719079426769,1
-0.020939397395589,0.945562030136328,1
-0.649332294679944,0.468468522618511,1
-0.712809896316035,0.0812258032312134,1
0.598342795187905,0.183081375325743,1
-0.584976694540792,0.445084693040221,1
1.02402989189997,5.58397200317574e-05,0.0173135978992584
NA,0.157152321227972,1
-0.281393627222192,0.675671641516492,1
NA,1,1
NA,0.62019586718786,1
-0.249237784298905,0.873936786879617,1
1.31980643150566,0.0509790576439073,0.886697020045873
0.264023233080793,0.747704833988051,1
0.334306529075409,0.511869410440271,1
0.597214861120331,0.215975722816976,1
0.243349391552655,0.623375659272786,1
NA,0.157152321227981,1
1.05673224257747,0.125042216809679,1
-0.078701975769182,0.158378388702526,1
-1.1436597282027,0.835719050517638,1
-3.9636396772403,0.0570967889269364,0.89040584152036
-0.680704845208034,0.198886053956855,1
NA,0.597728561369171,1
0.458476745607549,0.95264901118451,1
NA,1,1
1.0585789990289,0.151975935287623,1
0.629210671678886,0.129239164917858,1
NA,1,1
NA,0.497475956661608,1
NA,1,1
NA,0.479424225633287,1
0.571176575527608,0.678563987857187,1
NA,0.240146642783627,1
NA,1,1
0.352170444927983,0.778074818327063,1
NA,0.271799129659215,1
NA,0.999999999999998,1
0.153517972761782,0.616065288671778,1
0.0776750769804956,0.843612547740304,1
0.137735865847099,0.979786206119778,1
0.576084665028936,0.525646529619336,1
1.60109582170175,0.0364339822526272,0.794191768011114
-0.698267348921838,0.568435059453954,1
-0.244367696528105,0.713900438703389,1
0.590506339305644,0.7664142363219,1
0.894985286524062,0.258386132627965,1
-0.225238162830659,0.847224161966674,1
0.780912278829276,0.0963105227604455,1
-0.624638254661146,0.822246986449447,1
-0.761374718380053,0.416397039429414,1
1.08928503530123,0.647589130069351,1
0.153701343802556,0.721221569935692,1
0.581289748718597,0.669060462777434,1
0.394140719801672,0.923676807272552,1
NA,0.240146642783629,1
0.479157062974449,0.71081365528456,1
NA,1,1
0.130455741136295,0.717435560228768,1
0.0821901764221362,0.570293248885551,1
NA,0.240146642783628,1
0.495388460477372,0.718607228296636,1
-0.0533417609746297,0.991539759972267,1
0.628962576130917,0.183683709893668,1
1.52610936301386,0.327311380586406,1
NA,0.479424225633286,1
-0.750316086644207,0.413415450925597,1
-0.230929676726182,0.883715023268717,1
NA,0.99999999999999,1
-0.168396189308047,0.945669312934708,1
0.344546756396044,0.243280770952326,1
-1.17644899937221,0.0700910801716786,0.986011937548154
-0.188681571247607,0.77871817978829,1
NA,1,1
NA,0.999999999999999,1
0.255959611652544,0.457623285657385,1
-0.606915693084582,0.10920644942097,1
NA,0.999999999999997,1
-0.745936515532634,0.0267112323274528,0.68959029065099
-0.656278746379797,0.631518987898373,1
-1.57621289047922,0.334471590165778,1
NA,1,1
NA,0.246513412335466,1
0.680188869776856,0.536815914069055,1
1.06131311475366,0.109872217692052,1
-0.140451636054366,0.908728170505658,1
0.79339040789361,0.600581994530004,1
-0.485087193827444,0.506390162330362,1
-0.262141986237591,0.720556432381354,1
NA,0.479424225633285,1
-0.236520318625408,0.754492261744402,1
0.864627093191025,0.0623604607837075,0.931167107056438
NA,0.999999999999999,1
NA,0.240146642783627,1
NA,0.298372391702948,1
0.84306088949114,0.10907671878917,1
NA,0.564997607905719,1
NA,0.352798850401487,1
NA,0.107603845802285,1
0.108278273631324,0.853755023314169,1
0.260260678093275,0.512569656854672,1
0.596551482583331,0.401480543114986,1
0.0931845505041052,0.840610728318244,1
NA,0.564997607905717,1
0.390169858246653,0.658310277594484,1
-0.338741482488789,0.603445227687027,1
-1.04142719451002,0.184783452255622,1
NA,0.240146642783626,1
NA,1,1
-1.3481839147031,0.115653980226079,1
0.789653781406137,0.255346988283673,1
-0.436261723104623,0.587061727201992,1
0.270516220661856,0.646045096194083,1
0.467404826722254,0.578188974520227,1
-0.64465955113539,0.335806731285276,1
