"hurdle_sample_typegood_not_brain.logFC","hurdle_sample_typegood_not_brain.fisherPval","hurdle_sample_typegood_not_brain.fisherAdjPval"
-1.8711517212386,0.000397996497176588,0.0166495201318873
-0.35842243319857,0.330927502227855,0.576253341342261
NA,0.0187202551473402,0.120188142364959
-1.49235095386637,4.53293867234824e-06,0.00238931197419476
-2.05397020387797,0.00360551407749578,0.0508801903446792
-1.96540938310116,0.00684478134088859,0.072739601709322
NA,1,1
-0.915439414662022,0.0270420506616633,0.143254923655907
-1.51275188970205,0.000113201552256823,0.00920428033031806
NA,0.14086019465669,0.355945285464744
NA,0.678937224279111,0.893679923032289
NA,0.0506978911838396,0.197866023005944
-0.536561941038592,0.25887218125506,0.512413530660912
0.423647973192103,0.217914684859158,0.461111322317392
0.658317349153468,0.0173692901130512,0.117152848010676
-1.36676576558686,0.000587478507561797,0.019253816781896
-0.361035991807649,0.478494337024364,0.722263359236948
NA,0.999999999999999,1
-1.17395428077424,3.38155808870796e-05,0.00495116463488323
-1.03466839183408,0.00123585763534398,0.0293432684499916
NA,0.0506978911838399,0.197866023005944
0.422240705782953,0.255355354148084,0.507733285374073
-0.196598517340042,0.700542516212241,0.914500856257593
0.32592301629405,0.00866604051189965,0.0810932785085746
NA,0.999999999999999,1
-1.553805045084,0.00132676656765635,0.030807870388179
-0.0558799841613634,0.0521734900506086,0.200857970334172
NA,0.391832373723909,0.621157426134957
0.515173412930378,0.273619166244874,0.530823196642154
-0.656416800801124,0.0526662922818503,0.20191234278582
-0.654084951089664,0.0616403245099037,0.224848547053081
0.546731733208865,0.13192325279923,0.352620418612953
NA,1,1
NA,0.351694759455271,0.597416396096921
NA,1,1
1.66247345908911,0.0898668723965924,0.283704980467435
2.77498598311146,0.0199268282578187,0.124676068215839
1.66616543679245,0.0623729752992972,0.227206601798615
1.72436135318614,0.0532829975998306,0.203517884310657
NA,0.106255974121802,0.310807569143185
2.97017977829535,0.213898946700818,0.456831988679097
1.8681114912315,0.0336165170229191,0.161251878508933
0.481319463953215,0.432135380578926,0.669149703593279
NA,0.368920897368605,0.597781140494905
1.39336079188324,0.193857950138874,0.428977856919398
0.446977709932346,0.211543051758527,0.453570289487687
-1.14528857527356,0.000607834488084729,0.0197771332512013
NA,1,1
NA,0.999999999999997,1
NA,0.316589528317753,0.559981007974125
-1.06085393197457,0.101002080684201,0.305976822488744
0.452939649799577,0.235329004836082,0.481716188151841
NA,0.0506978911838396,0.197866023005944
-0.331999784869567,0.321982356963991,0.56704610877287
0.648297033258761,0.0230652185860231,0.134439809513468
0.115623017438076,0.387884241532207,0.619369232691991
0.428320310274427,0.590689565724279,0.807868370766133
0.491771032446575,0.724951380118125,0.937722386405554
0.372963531038656,0.19273774852507,0.427576040604228
-0.743834349444361,0.0162826889663758,0.112797756549017
0.582733484032746,0.454424927578072,0.694282258917106
NA,0.999999999999999,1
-2.66152607390453,0.00103391142464356,0.0260753450684028
-1.83971283555127,0.0109435451683278,0.0912712445921772
NA,0.802889925868121,1
-0.266333998290593,0.89068892674298,1
NA,1,1
NA,0.560032946046082,0.777848131385748
NA,0.363633787445915,0.597781140494905
NA,1,1
0.743583010569297,0.0095171479392301,0.0843463940434559
0.0298261268669966,0.99915449218943,1
-0.356621867626965,0.569834945795409,0.787313237034757
0.0125914652568454,0.0305679462965849,0.152559254526518
NA,0.14068521701852,0.355945285464744
-1.61174875806959,0.458815690429683,0.699571161196084
NA,0.368920897368605,0.597781140494905
-0.502391585171767,0.494173549548416,0.740417504169898
0.375477687147735,0.542238700144891,0.765652086428926
-0.595635733326466,0.243269804458197,0.493942657665315
NA,0.316589528317753,0.559981007974125
0.945639803687015,0.592663306794696,0.809727395053096
-0.295876905425549,0.16930548481539,0.401624307138578
0.232004473291769,0.258088957560268,0.511591312572014
NA,1,1
-0.320149959189617,0.171752101144759,0.404832980555132
0.354746920731392,0.127452179598786,0.345659799959148
NA,0.351694759439509,0.597416396096921
-0.286183303986194,0.0294382307641526,0.15004272740284
-0.0954217875346353,0.305132821124727,0.559981007974125
0.172523440287585,0.202416644642962,0.440155995838718
0.0955966078145206,0.341785829107525,0.588742844845021
-0.816779144508098,0.016080052180166,0.112262192108152
0.500811123080391,0.129499263999234,0.3488730050864
-0.0730941106073182,0.285369702607763,0.544796704978457
0.483590834790806,0.261560540832942,0.515396489992686
-0.0822983895078299,0.598122885495548,0.814448384115355
-0.242260166798337,0.497933377194305,0.744147102691007
1.44281431009822,0.00192458953674425,0.0366227850114763
0.939682429204186,0.01491301277974,0.107827833144046
-0.19122784402045,0.018209255006273,0.120093424002418
0.788832199764717,0.00733560285396263,0.0755194582875723
NA,0.999999999999995,1
NA,0.999999999999998,1
NA,1,1
-0.95209634214413,0.000196408865200331,0.0117644446417153
NA,0.0506978911838401,0.197866023005944
-0.285882078473466,0.00302550425169856,0.0463588166008811
-0.547496804503399,0.0179993794520443,0.119418615401503
