"hurdle_sample_typepoor_not_brain.logFC","hurdle_sample_typepoor_not_brain.fisherPval","hurdle_sample_typepoor_not_brain.fisherAdjPval"
-1.40594551185831,0.00561681566433957,0.0763047303266337
-0.901298336292406,0.102679446090175,0.329880082197699
NA,0.0563631558795786,0.240558862057699
-2.0451543028931,1.38820350480777e-07,0.000121953677897362
-2.25365433386157,0.00810495773810123,0.0920466643044715
-2.95142250262424,0.000691679773031817,0.0260417434546479
NA,1,1
-0.969007295652969,0.0152171881550174,0.129370643169511
-2.05643383363365,4.15557917218519e-05,0.00509396693409027
NA,0.14086019465669,0.381734748604328
NA,0.175351287240956,0.431703239162581
NA,0.0506978911838396,0.230369469336226
0.277088242697866,0.749597249939485,0.930114666768132
0.219965902827881,0.404474446061661,0.629089644494251
0.446680886181,0.079910109093518,0.290888249331446
-1.97731048929765,3.43414304492912e-05,0.00441496780239546
-0.197516801515557,0.238938040328095,0.503173156440028
NA,1,1
-0.332588089780803,0.0363150006044565,0.202342883917643
-0.20719151628964,0.0504241537682552,0.230369469336226
NA,0.0506978911838401,0.230369469336226
-0.800134945134722,0.0617604170791387,0.252160463535353
1.66065479467449,0.0562413116233495,0.240481618361061
-0.545656310777494,0.00264594583957,0.0523702773139092
NA,1,1
-1.09518769421791,0.00433172869414705,0.0648651759853668
-0.240114458590262,0.0434146661728248,0.221605518092
NA,0.391832373723909,0.615582269957877
1.42812378848381,0.00363419847263686,0.0604285809125201
-0.116002960985791,0.87813183193978,1
-1.17349119619064,0.00555034502451561,0.0755965597525111
0.572591668217086,0.155596388773098,0.406416533807234
NA,1,1
NA,0.233536953863172,0.497765177441481
NA,1,1
1.47127679117644,0.104045681852205,0.330376378941549
1.22328675363275,0.215840084361026,0.480329331308047
1.05939021212806,0.227221080544657,0.49349950572744
1.20913486351521,0.175940630192946,0.432548069844691
NA,0.160211371063559,0.410517257368179
2.97992235074181,0.00165267054333988,0.0405289661204621
-0.254385873962858,0.789856167022571,0.95529457718976
0.765727493484012,0.349972502323631,0.590564854121935
NA,0.368920897368605,0.596131836305923
1.4392996375498,0.0758107702994913,0.282601534829292
0.864426653353495,0.201133291018762,0.46130565122764
-0.0529891010464504,0.0384479151216675,0.210445441958784
NA,0.999999999999999,1
NA,0.351694759455269,0.590564854121935
NA,0.316589528317753,0.559981007974126
0.117178114248213,0.485432594737899,0.71368667990474
-0.880080326433593,0.124927400925183,0.363390774861836
NA,0.0506978911838403,0.230369469336226
-0.0119855183073493,0.455887061797547,0.684414896819957
0.381378049307318,0.234823445537207,0.499061647042001
0.111146269029416,0.269645336680019,0.54041846754387
0.610004663398371,0.18617076248732,0.442868823795534
0.653191105115255,0.661131144380087,0.845010247824306
0.4362900248041,0.159081391664607,0.408965501521253
0.0154801975015494,0.357083275998567,0.596131836305923
0.031401585327369,0.998229316146363,1
NA,1,1
-2.92670414501665,0.00035881520233539,0.0173515131331178
-1.71661572122313,0.00708432808237015,0.0860403071939472
NA,0.368920897368604,0.596131836305923
0.179130596690418,0.601042521558389,0.794606253106163
NA,1,1
NA,0.159230148826078,0.408965501521253
NA,0.999999999999999,1
NA,1,1
-0.189753841840604,0.0973140088396852,0.324900882408706
0.780821298678154,0.282406355144256,0.556246876378844
0.823269972763866,0.320263767037585,0.562605086352946
0.00871323147394663,0.109849379049326,0.341804059603893
NA,0.369638388370271,0.596628541858323
0.151395343921006,0.964323432971836,1
NA,0.368920897368605,0.596131836305923
-0.683794533797171,0.0850499722677611,0.300298177538227
-0.317483231245171,0.617708891581602,0.806698572401799
-0.19733372752314,0.636074818356462,0.819943841417684
NA,0.316589528317752,0.559981007974126
-0.00180458878849482,0.88180904108503,1
0.187244053676964,0.328821881800573,0.566967660768995
0.376613735794295,0.368434803198194,0.596131836305923
NA,0.316589528317753,0.559981007974126
0.648208919323355,0.119021087725816,0.353391210890831
0.548787658205993,0.0411572917404544,0.216291211130543
NA,1,1
0.455148636006943,0.0272956514068603,0.167065866875876
-0.0600472557717613,0.317817543525725,0.561584746548844
0.379250824983279,0.0487576740810435,0.230369469336226
-0.198697518021235,0.0945205722117704,0.319575327856473
-0.686136796857802,0.0808935936340631,0.292612015961612
-0.234692360943405,0.228520226788659,0.494791466491121
-0.0382931508995891,0.344487294742661,0.586306919789656
0.0322382100193117,0.369922901950829,0.59671471682595
0.0647576889627471,0.144767567153146,0.388924488513881
-0.371764214555548,0.604665885301097,0.798277706532109
0.724337193642766,0.0400376333484205,0.212777226510024
0.778153693540892,0.0414219016912602,0.21724860081058
-0.516682809571468,0.022359272151163,0.159418453853613
0.483116006651544,0.112123787234258,0.342611294209724
NA,0.240180955884875,0.504824356789353
NA,0.999999999999999,1
NA,0.316589528317753,0.559981007974126
-0.632190265191632,0.00171923459040725,0.0417607627927954
NA,0.111872768873811,0.342470731517055
-0.846147429690736,0.00407627850163522,0.0641558933639359
-0.568436201898988,0.0117763698685707,0.114526283352834
-1.64239310172716,0.0109319343460724,0.11060078782903
-1.05948120969174,0.000969605483831692,0.0314162785326199
-0.575798195082286,0.010758606975447,0.109687847906346
-0.714488424041803,0.0376572539790977,0.206977461651537
0.265358726481977,0.563872800402254,0.759369834164609
NA,0.576577530328091,0.7713553711572
-0.0989169962185798,0.566268991951244,0.761235362554197
NA,0.78600953061515,0.953084034279444
NA,0.152765278728264,0.402210681406933
0.318355233605226,0.130551704897725,0.372974545537079
1.42806555252762,0.023183271938036,0.159418453853613
0.183447930912018,0.027315252147154,0.167065866875876
0.336017526281315,0.228668566187132,0.494791466491121
