"hurdle_sample_typepoor_brain.logFC","hurdle_sample_typepoor_brain.fisherPval","hurdle_sample_typepoor_brain.fisherAdjPval"
-0.125820883776067,0.840445961109246,0.894947608284209
0.184296937095031,0.719498786510758,0.811736441045064
NA,0.222462473644204,0.535863941436061
-0.503941602854753,0.00105095794254028,0.107165950039644
-0.563048138928752,0.123950203783362,0.484063527751216
-0.938449407949398,0.19980763113049,0.524136389460613
NA,0.449327202587618,0.625483576206539
-0.22724906153862,0.593236814148736,0.732478624356521
-0.384058957463465,0.167040408126876,0.511526006960372
NA,0.130583814585944,0.484063527751216
NA,0.427288307454727,0.625483576206539
NA,0.0734242562689042,0.418424334581993
-0.020217964670118,0.960770011841594,0.978411589279625
0.081430932767693,0.675519562318763,0.778457283118102
-0.223983119710058,0.138923646214391,0.489206298684781
-0.252369267702842,0.185851145594054,0.519014458575962
0.0389132857024004,0.929616988064969,0.952753479309829
NA,0.449327202587617,0.625483576206539
-0.046879169459156,0.606400641589256,0.742816124056929
-0.268585827030287,0.0964523366056403,0.457420667431184
NA,0.0162319819824311,0.251643461851161
-0.363142935334747,0.187689616725527,0.519014458575962
0.385417319349897,0.511160758333838,0.677477585410526
-0.0782518934824898,0.144123266180335,0.495823588782598
NA,0.449327202587618,0.625483576206539
-0.311318885773507,0.435958699327408,0.625483576206539
0.772371685416972,0.0274923459352052,0.306284347587823
NA,0.757648592430685,0.839189671262672
0.249848456198808,0.418406453539812,0.625483576206539
-0.164471310126308,0.75432335698966,0.837288847532545
0.0999155632563647,0.797863478214244,0.863946185039871
0.34890446211706,0.192375550309732,0.521384774772656
NA,0.449327202587618,0.625483576206539
NA,0.13168683403756,0.484063527751216
NA,0.15866746194572,0.506223883516486
1.43133039803012,0.0898915750021994,0.445110475749535
1.40367834508121,0.0835939782074599,0.433684900720001
0.926760707285899,0.153232240704832,0.50543625829485
1.80214760065699,0.00480729675522072,0.178538671473535
NA,0.186280168524755,0.519014458575962
1.80553883622232,0.341653664425615,0.599011534655824
0.896215614691753,0.137387145411224,0.488972075261688
0.0267210876278822,0.725783323573596,0.815519910159118
NA,0.859082133026777,0.902215963973729
1.16441206253034,0.176563628469256,0.519014458575962
-0.0508449509495923,0.54475759528667,0.687929392610455
-0.744120349684409,0.00166555285944214,0.112009793474767
NA,0.23978133564449,0.541764642531178
NA,0.0925266185724164,0.448228158859597
NA,1,1
-0.486315124206579,0.210044831438291,0.530544606341411
-0.581300393282344,0.198001065297838,0.524136389460613
NA,0.0734242562689042,0.418424334581993
-0.35384544821362,0.413654054861515,0.625483576206539
0.0659503086765835,0.528188487619246,0.683583221068458
-0.148061410282734,0.353354465837893,0.608377111689469
0.0384108049312905,0.37004132013792,0.608377111689469
0.614039599320699,0.471346994940257,0.643645080396398
0.278592251247273,0.318184765602383,0.577389933059275
0.14082156078697,0.0446572499051558,0.356863746153895
0.447284348860123,0.215311907500562,0.532071760166649
NA,0.166678529009539,0.511526006960372
-1.19631845364678,0.0509751969309233,0.371119147821681
-1.11407287525245,0.0475099001695497,0.35831156412216
NA,1,1
0.417178622341865,0.214470018747072,0.531618998144499
NA,0.449327202587618,0.625483576206539
NA,0.309941264233728,0.577389933059275
