Raw file name - analytical LC-FAIMS-MS/MS run	Raw file name - pre-analytical LC-FAIMS-MS run (TIC normalization)	Cohort	Experiment name for MQ and Prosit	Experiment FP_DDA	Bioreplicate FP_DDA	Folder name FP_DDA	Experiment FP_Booster	Bioreplicate FP_Booster	Folder name FP_Booster	Experiment FP_WWA	Bioreplicate FP_WWA	Folder name FP_WWA
05058_P056476_15SPD_FMS-30-40-50-60-70_R1.raw	05043_P056242_TIC_Norm_FMS-45-65_R1.raw	Glioma	P056476	P056476	5	P056476_5	P056476	5	P056476_5	P056476	5	P056476_5
05058_P056477_15SPD_FMS-30-40-50-60-70_R1.raw	05043_P056243_TIC_Norm_FMS-45-65_R1.raw	Glioma	P056477	P056477	6	P056477_6	P056477	6	P056477_6	P056477	6	P056477_6
05058_P056478_15SPD_FMS-30-40-50-60-70_R1.raw	05043_P056244_TIC_Norm_FMS-45-65_R1.raw	Glioma	P056478	P056478	7	P056478_7	P056478	7	P056478_7	P056478	7	P056478_7
05058_P056479_15SPD_FMS-30-40-50-60-70_R1.raw	05043_P056245_TIC_Norm_FMS-45-65_R1.raw	Glioma	P056479	P056479	8	P056479_8	P056479	8	P056479_8	P056479	8	P056479_8
05058_P056480_15SPD_FMS-30-40-50-60-70_R1.raw	05043_P056246_TIC_Norm_FMS-45-65_R1.raw	Glioma	P056480	P056480	9	P056480_9	P056480	9	P056480_9	P056480	9	P056480_9
05058_P056481_15SPD_FMS-30-40-50-60-70_R1.raw	05043_P056247_TIC_Norm_FMS-45-65_R1.raw	Glioma	P056481	P056481	10	P056481_10	P056481	10	P056481_10	P056481	10	P056481_10
05058_P056483_15SPD_FMS-30-40-50-60-70_R1.raw	05043_P056249_TIC_Norm_FMS-45-65_R1.raw	Glioma	P056483	P056483	11	P056483_11	P056483	11	P056483_11	P056483	11	P056483_11
05058_P056485_15SPD_FMS-30-40-50-60-70_R1.raw	05043_P056251_TIC_Norm_FMS-45-65_R1.raw	Glioma	P056485	P056485	12	P056485_12	P056485	12	P056485_12	P056485	12	P056485_12
05058_P056486_15SPD_FMS-30-40-50-60-70_R1.raw	05043_P056252_TIC_Norm_FMS-45-65_R1.raw	Glioma	P056486	P056486	13	P056486_13	P056486	13	P056486_13	P056486	13	P056486_13
05058_P056487_15SPD_FMS-30-40-50-60-70_R1.raw	05043_P056253_TIC_Norm_FMS-45-65_R1.raw	Glioma	P056487	P056487	14	P056487_14	P056487	14	P056487_14	P056487	14	P056487_14
05058_P056488_15SPD_FMS-30-40-50-60-70_R1.raw	05043_P056254_TIC_Norm_FMS-45-65_R1.raw	Glioma	P056488	P056488	15	P056488_15	P056488	15	P056488_15	P056488	15	P056488_15
05058_P056489_15SPD_FMS-30-40-50-60-70_R1.raw	05043_P056255_TIC_Norm_FMS-45-65_R1.raw	Glioma	P056489	P056489	16	P056489_16	P056489	16	P056489_16	P056489	16	P056489_16
05058_P056490_15SPD_FMS-30-40-50-60-70_R1.raw	05043_P056256_TIC_Norm_FMS-45-65_R1.raw	Glioma	P056490	P056490	17	P056490_17	P056490	17	P056490_17	P056490	17	P056490_17
05058_P056491_15SPD_FMS-30-40-50-60-70_R1.raw	05043_P056257_TIC_Norm_FMS-45-65_R1.raw	Glioma	P056491	P056491	18	P056491_18	P056491	18	P056491_18	P056491	18	P056491_18
05058_P056492_15SPD_FMS-30-40-50-60-70_R1.raw	05043_P056258_TIC_Norm_FMS-45-65_R1.raw	Glioma	P056492	P056492	19	P056492_19	P056492	19	P056492_19	P056492	19	P056492_19
05058_P056493_15SPD_FMS-30-40-50-60-70_R1.raw	05043_P056259_TIC_Norm_FMS-45-65_R1.raw	Glioma	P056493	P056493	20	P056493_20	P056493	20	P056493_20	P056493	20	P056493_20
05058_P056495_15SPD_FMS-30-40-50-60-70_R1.raw	05043_P056261_TIC_Norm_FMS-45-65_R1.raw	Glioma	P056495	P056495	21	P056495_21	P056495	21	P056495_21	P056495	21	P056495_21
05058_P056496_15SPD_FMS-30-40-50-60-70_R1.raw	05043_P056262_TIC_Norm_FMS-45-65_R1.raw	Glioma	P056496	P056496	22	P056496_22	P056496	22	P056496_22	P056496	22	P056496_22
05058_P056497_15SPD_FMS-30-40-50-60-70_R1.raw	05043_P056263_TIC_Norm_FMS-45-65_R1.raw	Glioma	P056497	P056497	23	P056497_23	P056497	23	P056497_23	P056497	23	P056497_23
05058_P056498_15SPD_FMS-30-40-50-60-70_R1.raw	05043_P056264_TIC_Norm_FMS-45-65_R1.raw	Glioma	P056498	P056498	24	P056498_24	P056498	24	P056498_24	P056498	24	P056498_24
05058_P056500_15SPD_FMS-30-40-50-60-70_R1.raw	05043_P056266_TIC_Norm_FMS-45-65_R1.raw	Glioma	P056500	P056500	25	P056500_25	P056500	25	P056500_25	P056500	25	P056500_25
05058_P056501_15SPD_FMS-30-40-50-60-70_R1.raw	05043_P056267_TIC_Norm_FMS-45-65_R1.raw	Glioma	P056501	P056501	26	P056501_26	P056501	26	P056501_26	P056501	26	P056501_26
05058_P056502_15SPD_FMS-30-40-50-60-70_R1.raw	05043_P056268_TIC_Norm_FMS-45-65_R1.raw	Glioma	P056502	P056502	27	P056502_27	P056502	27	P056502_27	P056502	27	P056502_27
05058_P056503_15SPD_FMS-30-40-50-60-70_R1.raw	05043_P056269_TIC_Norm_FMS-45-65_R1.raw	Glioma	P056503	P056503	28	P056503_28	P056503	28	P056503_28	P056503	28	P056503_28
05058_P056504_15SPD_FMS-30-40-50-60-70_R1.raw	05043_P056270_TIC_Norm_FMS-45-65_R1.raw	Glioma	P056504	P056504	29	P056504_29	P056504	29	P056504_29	P056504	29	P056504_29
05058_P056505_15SPD_FMS-30-40-50-60-70_R1.raw	05043_P056271_TIC_Norm_FMS-45-65_R1.raw	Glioma	P056505	P056505	30	P056505_30	P056505	30	P056505_30	P056505	30	P056505_30
05058_P056506_15SPD_FMS-30-40-50-60-70_R1.raw	05043_P056272_TIC_Norm_FMS-45-65_R1.raw	Glioma	P056506	P056506	31	P056506_31	P056506	31	P056506_31	P056506	31	P056506_31
