Raw file name - analytical LC-FAIMS-MS/MS run	Raw file name - pre-analytical LC-FAIMS-MS run (TIC normalization)	Cohort	Experiment name for MQ and Prosit	Experiment FP_DDA	Bioreplicate FP_DDA	Folder name FP_DDA	Experiment FP_Booster	Bioreplicate FP_Booster	Folder name FP_Booster	Experiment FP_WWA	Bioreplicate FP_WWA	Folder name FP_WWA
04812_300ng_iH_HeLa_30SPD_FMS-45_QC10_R1.raw	Not applicable	HELA	DLBCL_10	04812_300ng_iH_HeLa_30SPD_FMS_45_QC10_R1_raw	1	04812_300ng_iH_HeLa_30SPD_FMS_45_QC10_R1_raw_1	04812_300ng_iH_HeLa_30SPD_FMS_45_QC10_R1_raw	1	04812_300ng_iH_HeLa_30SPD_FMS_45_QC10_R1_raw_1	04812_300ng_iH_HeLa_30SPD_FMS_45_QC10_R1_raw	1	04812_300ng_iH_HeLa_30SPD_FMS_45_QC10_R1_raw_1
04812_300ng_iH_HeLa_30SPD_FMS-45_QC11_R1.raw	Not applicable	HELA	DLBCL_11	04812_300ng_iH_HeLa_30SPD_FMS_45_QC11_R1_raw	2	04812_300ng_iH_HeLa_30SPD_FMS_45_QC11_R1_raw_2	04812_300ng_iH_HeLa_30SPD_FMS_45_QC11_R1_raw	2	04812_300ng_iH_HeLa_30SPD_FMS_45_QC11_R1_raw_2	04812_300ng_iH_HeLa_30SPD_FMS_45_QC11_R1_raw	2	04812_300ng_iH_HeLa_30SPD_FMS_45_QC11_R1_raw_2
04812_300ng_iH_HeLa_30SPD_FMS-45_QC12_R1.raw	Not applicable	HELA	DLBCL_12	04812_300ng_iH_HeLa_30SPD_FMS_45_QC12_R1_raw	3	04812_300ng_iH_HeLa_30SPD_FMS_45_QC12_R1_raw_3	04812_300ng_iH_HeLa_30SPD_FMS_45_QC12_R1_raw	3	04812_300ng_iH_HeLa_30SPD_FMS_45_QC12_R1_raw_3	04812_300ng_iH_HeLa_30SPD_FMS_45_QC12_R1_raw	3	04812_300ng_iH_HeLa_30SPD_FMS_45_QC12_R1_raw_3
04812_300ng_iH_HeLa_30SPD_FMS-45_QC13_R1.raw	Not applicable	HELA	DLBCL_13	04812_300ng_iH_HeLa_30SPD_FMS_45_QC13_R1_raw	4	04812_300ng_iH_HeLa_30SPD_FMS_45_QC13_R1_raw_4	04812_300ng_iH_HeLa_30SPD_FMS_45_QC13_R1_raw	4	04812_300ng_iH_HeLa_30SPD_FMS_45_QC13_R1_raw_4	04812_300ng_iH_HeLa_30SPD_FMS_45_QC13_R1_raw	4	04812_300ng_iH_HeLa_30SPD_FMS_45_QC13_R1_raw_4
04812_300ng_iH_HeLa_30SPD_FMS-45_QC14_R1.raw	Not applicable	HELA	DLBCL_14	04812_300ng_iH_HeLa_30SPD_FMS_45_QC14_R1_raw	5	04812_300ng_iH_HeLa_30SPD_FMS_45_QC14_R1_raw_5	04812_300ng_iH_HeLa_30SPD_FMS_45_QC14_R1_raw	5	04812_300ng_iH_HeLa_30SPD_FMS_45_QC14_R1_raw_5	04812_300ng_iH_HeLa_30SPD_FMS_45_QC14_R1_raw	5	04812_300ng_iH_HeLa_30SPD_FMS_45_QC14_R1_raw_5
04812_300ng_iH_HeLa_30SPD_FMS-45_QC15_R1.raw	Not applicable	HELA	DLBCL_15	04812_300ng_iH_HeLa_30SPD_FMS_45_QC15_R1_raw	6	04812_300ng_iH_HeLa_30SPD_FMS_45_QC15_R1_raw_6	04812_300ng_iH_HeLa_30SPD_FMS_45_QC15_R1_raw	6	04812_300ng_iH_HeLa_30SPD_FMS_45_QC15_R1_raw_6	04812_300ng_iH_HeLa_30SPD_FMS_45_QC15_R1_raw	6	04812_300ng_iH_HeLa_30SPD_FMS_45_QC15_R1_raw_6
04812_300ng_iH_HeLa_30SPD_FMS-45_QC16_R1.raw	Not applicable	HELA	DLBCL_16	04812_300ng_iH_HeLa_30SPD_FMS_45_QC16_R1_raw	7	04812_300ng_iH_HeLa_30SPD_FMS_45_QC16_R1_raw_7	04812_300ng_iH_HeLa_30SPD_FMS_45_QC16_R1_raw	7	04812_300ng_iH_HeLa_30SPD_FMS_45_QC16_R1_raw_7	04812_300ng_iH_HeLa_30SPD_FMS_45_QC16_R1_raw	7	04812_300ng_iH_HeLa_30SPD_FMS_45_QC16_R1_raw_7
04812_300ng_iH_HeLa_30SPD_FMS-45_QC17_R1.raw	Not applicable	HELA	DLBCL_17	04812_300ng_iH_HeLa_30SPD_FMS_45_QC17_R1_raw	8	04812_300ng_iH_HeLa_30SPD_FMS_45_QC17_R1_raw_8	04812_300ng_iH_HeLa_30SPD_FMS_45_QC17_R1_raw	8	04812_300ng_iH_HeLa_30SPD_FMS_45_QC17_R1_raw_8	04812_300ng_iH_HeLa_30SPD_FMS_45_QC17_R1_raw	8	04812_300ng_iH_HeLa_30SPD_FMS_45_QC17_R1_raw_8
04812_300ng_iH_HeLa_30SPD_FMS-45_QC18_R1.raw	Not applicable	HELA	DLBCL_18	04812_300ng_iH_HeLa_30SPD_FMS_45_QC18_R1_raw	9	04812_300ng_iH_HeLa_30SPD_FMS_45_QC18_R1_raw_9	04812_300ng_iH_HeLa_30SPD_FMS_45_QC18_R1_raw	9	04812_300ng_iH_HeLa_30SPD_FMS_45_QC18_R1_raw_9	04812_300ng_iH_HeLa_30SPD_FMS_45_QC18_R1_raw	9	04812_300ng_iH_HeLa_30SPD_FMS_45_QC18_R1_raw_9
04812_300ng_iH_HeLa_30SPD_FMS-45_QC19_R1.raw	Not applicable	HELA	DLBCL_19	04812_300ng_iH_HeLa_30SPD_FMS_45_QC19_R1_raw	10	04812_300ng_iH_HeLa_30SPD_FMS_45_QC19_R1_raw_10	04812_300ng_iH_HeLa_30SPD_FMS_45_QC19_R1_raw	10	04812_300ng_iH_HeLa_30SPD_FMS_45_QC19_R1_raw_10	04812_300ng_iH_HeLa_30SPD_FMS_45_QC19_R1_raw	10	04812_300ng_iH_HeLa_30SPD_FMS_45_QC19_R1_raw_10
04812_300ng_iH_HeLa_30SPD_FMS-45_QC20_R1.raw	Not applicable	HELA	DLBCL_20	04812_300ng_iH_HeLa_30SPD_FMS_45_QC20_R1_raw	11	04812_300ng_iH_HeLa_30SPD_FMS_45_QC20_R1_raw_11	04812_300ng_iH_HeLa_30SPD_FMS_45_QC20_R1_raw	11	04812_300ng_iH_HeLa_30SPD_FMS_45_QC20_R1_raw_11	04812_300ng_iH_HeLa_30SPD_FMS_45_QC20_R1_raw	11	04812_300ng_iH_HeLa_30SPD_FMS_45_QC20_R1_raw_11
04812_300ng_iH_HeLa_30SPD_FMS-45_QC21_R1.raw	Not applicable	HELA	DLBCL_21	04812_300ng_iH_HeLa_30SPD_FMS_45_QC21_R1_raw	12	04812_300ng_iH_HeLa_30SPD_FMS_45_QC21_R1_raw_12	04812_300ng_iH_HeLa_30SPD_FMS_45_QC21_R1_raw	12	04812_300ng_iH_HeLa_30SPD_FMS_45_QC21_R1_raw_12	04812_300ng_iH_HeLa_30SPD_FMS_45_QC21_R1_raw	12	04812_300ng_iH_HeLa_30SPD_FMS_45_QC21_R1_raw_12
04812_300ng_iH_HeLa_30SPD_FMS-45_QC22_R1.raw	Not applicable	HELA	DLBCL_22	04812_300ng_iH_HeLa_30SPD_FMS_45_QC22_R1_raw	13	04812_300ng_iH_HeLa_30SPD_FMS_45_QC22_R1_raw_13	04812_300ng_iH_HeLa_30SPD_FMS_45_QC22_R1_raw	13	04812_300ng_iH_HeLa_30SPD_FMS_45_QC22_R1_raw_13	04812_300ng_iH_HeLa_30SPD_FMS_45_QC22_R1_raw	13	04812_300ng_iH_HeLa_30SPD_FMS_45_QC22_R1_raw_13
04812_300ng_iH_HeLa_30SPD_FMS-45_QC23_R1.raw	Not applicable	HELA	DLBCL_23	04812_300ng_iH_HeLa_30SPD_FMS_45_QC23_R1_raw	14	04812_300ng_iH_HeLa_30SPD_FMS_45_QC23_R1_raw_14	04812_300ng_iH_HeLa_30SPD_FMS_45_QC23_R1_raw	14	04812_300ng_iH_HeLa_30SPD_FMS_45_QC23_R1_raw_14	04812_300ng_iH_HeLa_30SPD_FMS_45_QC23_R1_raw	14	04812_300ng_iH_HeLa_30SPD_FMS_45_QC23_R1_raw_14
04812_300ng_iH_HeLa_30SPD_FMS-45_QC24_R1.raw	Not applicable	HELA	DLBCL_24	04812_300ng_iH_HeLa_30SPD_FMS_45_QC24_R1_raw	15	04812_300ng_iH_HeLa_30SPD_FMS_45_QC24_R1_raw_15	04812_300ng_iH_HeLa_30SPD_FMS_45_QC24_R1_raw	15	04812_300ng_iH_HeLa_30SPD_FMS_45_QC24_R1_raw_15	04812_300ng_iH_HeLa_30SPD_FMS_45_QC24_R1_raw	15	04812_300ng_iH_HeLa_30SPD_FMS_45_QC24_R1_raw_15
04812_300ng_iH_HeLa_30SPD_FMS-45_QC25_R1.raw	Not applicable	HELA	DLBCL_25	04812_300ng_iH_HeLa_30SPD_FMS_45_QC25_R1_raw	16	04812_300ng_iH_HeLa_30SPD_FMS_45_QC25_R1_raw_16	04812_300ng_iH_HeLa_30SPD_FMS_45_QC25_R1_raw	16	04812_300ng_iH_HeLa_30SPD_FMS_45_QC25_R1_raw_16	04812_300ng_iH_HeLa_30SPD_FMS_45_QC25_R1_raw	16	04812_300ng_iH_HeLa_30SPD_FMS_45_QC25_R1_raw_16
04812_300ng_iH_HeLa_30SPD_FMS-45_QC26_R1.raw	Not applicable	HELA	DLBCL_26	04812_300ng_iH_HeLa_30SPD_FMS_45_QC26_R1_raw	17	04812_300ng_iH_HeLa_30SPD_FMS_45_QC26_R1_raw_17	04812_300ng_iH_HeLa_30SPD_FMS_45_QC26_R1_raw	17	04812_300ng_iH_HeLa_30SPD_FMS_45_QC26_R1_raw_17	04812_300ng_iH_HeLa_30SPD_FMS_45_QC26_R1_raw	17	04812_300ng_iH_HeLa_30SPD_FMS_45_QC26_R1_raw_17
04812_300ng_iH_HeLa_30SPD_FMS-45_QC27_R1.raw	Not applicable	HELA	DLBCL_27	04812_300ng_iH_HeLa_30SPD_FMS_45_QC27_R1_raw	18	04812_300ng_iH_HeLa_30SPD_FMS_45_QC27_R1_raw_18	04812_300ng_iH_HeLa_30SPD_FMS_45_QC27_R1_raw	18	04812_300ng_iH_HeLa_30SPD_FMS_45_QC27_R1_raw_18	04812_300ng_iH_HeLa_30SPD_FMS_45_QC27_R1_raw	18	04812_300ng_iH_HeLa_30SPD_FMS_45_QC27_R1_raw_18
04812_300ng_iH_HeLa_30SPD_FMS-45_QC28_R1.raw	Not applicable	HELA	DLBCL_28	04812_300ng_iH_HeLa_30SPD_FMS_45_QC28_R1_raw	19	04812_300ng_iH_HeLa_30SPD_FMS_45_QC28_R1_raw_19	04812_300ng_iH_HeLa_30SPD_FMS_45_QC28_R1_raw	19	04812_300ng_iH_HeLa_30SPD_FMS_45_QC28_R1_raw_19	04812_300ng_iH_HeLa_30SPD_FMS_45_QC28_R1_raw	19	04812_300ng_iH_HeLa_30SPD_FMS_45_QC28_R1_raw_19
04812_300ng_iH_HeLa_30SPD_FMS-45_QC29_R1.raw	Not applicable	HELA	DLBCL_29	04812_300ng_iH_HeLa_30SPD_FMS_45_QC29_R1_raw	20	04812_300ng_iH_HeLa_30SPD_FMS_45_QC29_R1_raw_20	04812_300ng_iH_HeLa_30SPD_FMS_45_QC29_R1_raw	20	04812_300ng_iH_HeLa_30SPD_FMS_45_QC29_R1_raw_20	04812_300ng_iH_HeLa_30SPD_FMS_45_QC29_R1_raw	20	04812_300ng_iH_HeLa_30SPD_FMS_45_QC29_R1_raw_20
04812_300ng_iH_HeLa_30SPD_FMS-45_QC30_R1.raw	Not applicable	HELA	DLBCL_30	04812_300ng_iH_HeLa_30SPD_FMS_45_QC30_R1_raw	21	04812_300ng_iH_HeLa_30SPD_FMS_45_QC30_R1_raw_21	04812_300ng_iH_HeLa_30SPD_FMS_45_QC30_R1_raw	21	04812_300ng_iH_HeLa_30SPD_FMS_45_QC30_R1_raw_21	04812_300ng_iH_HeLa_30SPD_FMS_45_QC30_R1_raw	21	04812_300ng_iH_HeLa_30SPD_FMS_45_QC30_R1_raw_21
04812_300ng_iH_HeLa_30SPD_FMS-45_QC31_R1.raw	Not applicable	HELA	DLBCL_31	04812_300ng_iH_HeLa_30SPD_FMS_45_QC31_R1_raw	22	04812_300ng_iH_HeLa_30SPD_FMS_45_QC31_R1_raw_22	04812_300ng_iH_HeLa_30SPD_FMS_45_QC31_R1_raw	22	04812_300ng_iH_HeLa_30SPD_FMS_45_QC31_R1_raw_22	04812_300ng_iH_HeLa_30SPD_FMS_45_QC31_R1_raw	22	04812_300ng_iH_HeLa_30SPD_FMS_45_QC31_R1_raw_22
04812_300ng_iH_HeLa_30SPD_FMS-45_QC32_R1.raw	Not applicable	HELA	DLBCL_32	04812_300ng_iH_HeLa_30SPD_FMS_45_QC32_R1_raw	23	04812_300ng_iH_HeLa_30SPD_FMS_45_QC32_R1_raw_23	04812_300ng_iH_HeLa_30SPD_FMS_45_QC32_R1_raw	23	04812_300ng_iH_HeLa_30SPD_FMS_45_QC32_R1_raw_23	04812_300ng_iH_HeLa_30SPD_FMS_45_QC32_R1_raw	23	04812_300ng_iH_HeLa_30SPD_FMS_45_QC32_R1_raw_23
04812_300ng_iH_HeLa_30SPD_FMS-45_QC33_R1.raw	Not applicable	HELA	DLBCL_33	04812_300ng_iH_HeLa_30SPD_FMS_45_QC33_R1_raw	24	04812_300ng_iH_HeLa_30SPD_FMS_45_QC33_R1_raw_24	04812_300ng_iH_HeLa_30SPD_FMS_45_QC33_R1_raw	24	04812_300ng_iH_HeLa_30SPD_FMS_45_QC33_R1_raw_24	04812_300ng_iH_HeLa_30SPD_FMS_45_QC33_R1_raw	24	04812_300ng_iH_HeLa_30SPD_FMS_45_QC33_R1_raw_24
04812_300ng_iH_HeLa_30SPD_FMS-45_QC34_R1.raw	Not applicable	HELA	DLBCL_34	04812_300ng_iH_HeLa_30SPD_FMS_45_QC34_R1_raw	25	04812_300ng_iH_HeLa_30SPD_FMS_45_QC34_R1_raw_25	04812_300ng_iH_HeLa_30SPD_FMS_45_QC34_R1_raw	25	04812_300ng_iH_HeLa_30SPD_FMS_45_QC34_R1_raw_25	04812_300ng_iH_HeLa_30SPD_FMS_45_QC34_R1_raw	25	04812_300ng_iH_HeLa_30SPD_FMS_45_QC34_R1_raw_25
04812_300ng_iH_HeLa_30SPD_FMS-45_QC7_R1.raw	Not applicable	HELA	DLBCL_7	04812_300ng_iH_HeLa_30SPD_FMS_45_QC7_R1_raw	26	04812_300ng_iH_HeLa_30SPD_FMS_45_QC7_R1_raw_26	04812_300ng_iH_HeLa_30SPD_FMS_45_QC7_R1_raw	26	04812_300ng_iH_HeLa_30SPD_FMS_45_QC7_R1_raw_26	04812_300ng_iH_HeLa_30SPD_FMS_45_QC7_R1_raw	26	04812_300ng_iH_HeLa_30SPD_FMS_45_QC7_R1_raw_26
04812_300ng_iH_HeLa_30SPD_FMS-45_QC8_R1.raw	Not applicable	HELA	DLBCL_8	04812_300ng_iH_HeLa_30SPD_FMS_45_QC8_R1_raw	27	04812_300ng_iH_HeLa_30SPD_FMS_45_QC8_R1_raw_27	04812_300ng_iH_HeLa_30SPD_FMS_45_QC8_R1_raw	27	04812_300ng_iH_HeLa_30SPD_FMS_45_QC8_R1_raw_27	04812_300ng_iH_HeLa_30SPD_FMS_45_QC8_R1_raw	27	04812_300ng_iH_HeLa_30SPD_FMS_45_QC8_R1_raw_27
04812_300ng_iH_HeLa_30SPD_FMS-45_QC9_R1.raw	Not applicable	HELA	DLBCL_9	04812_300ng_iH_HeLa_30SPD_FMS_45_QC9_R1_raw	28	04812_300ng_iH_HeLa_30SPD_FMS_45_QC9_R1_raw_28	04812_300ng_iH_HeLa_30SPD_FMS_45_QC9_R1_raw	28	04812_300ng_iH_HeLa_30SPD_FMS_45_QC9_R1_raw_28	04812_300ng_iH_HeLa_30SPD_FMS_45_QC9_R1_raw	28	04812_300ng_iH_HeLa_30SPD_FMS_45_QC9_R1_raw_28
04875_300ng_iH_HeLa_30SPD_FMS-45_R1.raw	Not applicable	HELA	PDAC_1	04875_300ng_iH_HeLa_30SPD_FMS_45_R1_raw	29	04875_300ng_iH_HeLa_30SPD_FMS_45_R1_raw_29	04875_300ng_iH_HeLa_30SPD_FMS_45_R1_raw	29	04875_300ng_iH_HeLa_30SPD_FMS_45_R1_raw_29	04875_300ng_iH_HeLa_30SPD_FMS_45_R1_raw	29	04875_300ng_iH_HeLa_30SPD_FMS_45_R1_raw_29
04875_300ng_iH_HeLa_30SPD_FMS-45_R10.raw	Not applicable	HELA	PDAC_12	04875_300ng_iH_HeLa_30SPD_FMS_45_R10_raw	30	04875_300ng_iH_HeLa_30SPD_FMS_45_R10_raw_30	04875_300ng_iH_HeLa_30SPD_FMS_45_R10_raw	30	04875_300ng_iH_HeLa_30SPD_FMS_45_R10_raw_30	04875_300ng_iH_HeLa_30SPD_FMS_45_R10_raw	30	04875_300ng_iH_HeLa_30SPD_FMS_45_R10_raw_30
04875_300ng_iH_HeLa_30SPD_FMS-45_R11.raw	Not applicable	HELA	PDAC_13	04875_300ng_iH_HeLa_30SPD_FMS_45_R11_raw	31	04875_300ng_iH_HeLa_30SPD_FMS_45_R11_raw_31	04875_300ng_iH_HeLa_30SPD_FMS_45_R11_raw	31	04875_300ng_iH_HeLa_30SPD_FMS_45_R11_raw_31	04875_300ng_iH_HeLa_30SPD_FMS_45_R11_raw	31	04875_300ng_iH_HeLa_30SPD_FMS_45_R11_raw_31
04875_300ng_iH_HeLa_30SPD_FMS-45_R12.raw	Not applicable	HELA	PDAC_14	04875_300ng_iH_HeLa_30SPD_FMS_45_R12_raw	32	04875_300ng_iH_HeLa_30SPD_FMS_45_R12_raw_32	04875_300ng_iH_HeLa_30SPD_FMS_45_R12_raw	32	04875_300ng_iH_HeLa_30SPD_FMS_45_R12_raw_32	04875_300ng_iH_HeLa_30SPD_FMS_45_R12_raw	32	04875_300ng_iH_HeLa_30SPD_FMS_45_R12_raw_32
04875_300ng_iH_HeLa_30SPD_FMS-45_R13.raw	Not applicable	HELA	PDAC_15	04875_300ng_iH_HeLa_30SPD_FMS_45_R13_2_raw	33	04875_300ng_iH_HeLa_30SPD_FMS_45_R13_2_raw_33	04875_300ng_iH_HeLa_30SPD_FMS_45_R13_2_raw	33	04875_300ng_iH_HeLa_30SPD_FMS_45_R13_2_raw_33	04875_300ng_iH_HeLa_30SPD_FMS_45_R13_2_raw	33	04875_300ng_iH_HeLa_30SPD_FMS_45_R13_2_raw_33
04875_300ng_iH_HeLa_30SPD_FMS-45_R13-2.raw	Not applicable	HELA	PDAC_16	04875_300ng_iH_HeLa_30SPD_FMS_45_R13_raw	34	04875_300ng_iH_HeLa_30SPD_FMS_45_R13_raw_34	04875_300ng_iH_HeLa_30SPD_FMS_45_R13_raw	34	04875_300ng_iH_HeLa_30SPD_FMS_45_R13_raw_34	04875_300ng_iH_HeLa_30SPD_FMS_45_R13_raw	34	04875_300ng_iH_HeLa_30SPD_FMS_45_R13_raw_34
04875_300ng_iH_HeLa_30SPD_FMS-45_R14.raw	Not applicable	HELA	PDAC_17	04875_300ng_iH_HeLa_30SPD_FMS_45_R14_raw	35	04875_300ng_iH_HeLa_30SPD_FMS_45_R14_raw_35	04875_300ng_iH_HeLa_30SPD_FMS_45_R14_raw	35	04875_300ng_iH_HeLa_30SPD_FMS_45_R14_raw_35	04875_300ng_iH_HeLa_30SPD_FMS_45_R14_raw	35	04875_300ng_iH_HeLa_30SPD_FMS_45_R14_raw_35
04875_300ng_iH_HeLa_30SPD_FMS-45_R15.raw	Not applicable	HELA	PDAC_18	04875_300ng_iH_HeLa_30SPD_FMS_45_R15_raw	36	04875_300ng_iH_HeLa_30SPD_FMS_45_R15_raw_36	04875_300ng_iH_HeLa_30SPD_FMS_45_R15_raw	36	04875_300ng_iH_HeLa_30SPD_FMS_45_R15_raw_36	04875_300ng_iH_HeLa_30SPD_FMS_45_R15_raw	36	04875_300ng_iH_HeLa_30SPD_FMS_45_R15_raw_36
04875_300ng_iH_HeLa_30SPD_FMS-45_R16.raw	Not applicable	HELA	PDAC_19	04875_300ng_iH_HeLa_30SPD_FMS_45_R16_raw	37	04875_300ng_iH_HeLa_30SPD_FMS_45_R16_raw_37	04875_300ng_iH_HeLa_30SPD_FMS_45_R16_raw	37	04875_300ng_iH_HeLa_30SPD_FMS_45_R16_raw_37	04875_300ng_iH_HeLa_30SPD_FMS_45_R16_raw	37	04875_300ng_iH_HeLa_30SPD_FMS_45_R16_raw_37
04875_300ng_iH_HeLa_30SPD_FMS-45_R17.raw	Not applicable	HELA	PDAC_20	04875_300ng_iH_HeLa_30SPD_FMS_45_R17_raw	38	04875_300ng_iH_HeLa_30SPD_FMS_45_R17_raw_38	04875_300ng_iH_HeLa_30SPD_FMS_45_R17_raw	38	04875_300ng_iH_HeLa_30SPD_FMS_45_R17_raw_38	04875_300ng_iH_HeLa_30SPD_FMS_45_R17_raw	38	04875_300ng_iH_HeLa_30SPD_FMS_45_R17_raw_38
04875_300ng_iH_HeLa_30SPD_FMS-45_R18.raw	Not applicable	HELA	PDAC_21	04875_300ng_iH_HeLa_30SPD_FMS_45_R18_raw	39	04875_300ng_iH_HeLa_30SPD_FMS_45_R18_raw_39	04875_300ng_iH_HeLa_30SPD_FMS_45_R18_raw	39	04875_300ng_iH_HeLa_30SPD_FMS_45_R18_raw_39	04875_300ng_iH_HeLa_30SPD_FMS_45_R18_raw	39	04875_300ng_iH_HeLa_30SPD_FMS_45_R18_raw_39
04875_300ng_iH_HeLa_30SPD_FMS-45_R19.raw	Not applicable	HELA	PDAC_22	04875_300ng_iH_HeLa_30SPD_FMS_45_R19_raw	40	04875_300ng_iH_HeLa_30SPD_FMS_45_R19_raw_40	04875_300ng_iH_HeLa_30SPD_FMS_45_R19_raw	40	04875_300ng_iH_HeLa_30SPD_FMS_45_R19_raw_40	04875_300ng_iH_HeLa_30SPD_FMS_45_R19_raw	40	04875_300ng_iH_HeLa_30SPD_FMS_45_R19_raw_40
04875_300ng_iH_HeLa_30SPD_FMS-45_R2.raw	Not applicable	HELA	PDAC_2	04875_300ng_iH_HeLa_30SPD_FMS_45_R2_raw	41	04875_300ng_iH_HeLa_30SPD_FMS_45_R2_raw_41	04875_300ng_iH_HeLa_30SPD_FMS_45_R2_raw	41	04875_300ng_iH_HeLa_30SPD_FMS_45_R2_raw_41	04875_300ng_iH_HeLa_30SPD_FMS_45_R2_raw	41	04875_300ng_iH_HeLa_30SPD_FMS_45_R2_raw_41
04875_300ng_iH_HeLa_30SPD_FMS-45_R20.raw	Not applicable	HELA	PDAC_23	04875_300ng_iH_HeLa_30SPD_FMS_45_R20_raw	42	04875_300ng_iH_HeLa_30SPD_FMS_45_R20_raw_42	04875_300ng_iH_HeLa_30SPD_FMS_45_R20_raw	42	04875_300ng_iH_HeLa_30SPD_FMS_45_R20_raw_42	04875_300ng_iH_HeLa_30SPD_FMS_45_R20_raw	42	04875_300ng_iH_HeLa_30SPD_FMS_45_R20_raw_42
04875_300ng_iH_HeLa_30SPD_FMS-45_R21-2.raw	Not applicable	HELA	PDAC_25	04875_300ng_iH_HeLa_30SPD_FMS_45_R21_2_raw	43	04875_300ng_iH_HeLa_30SPD_FMS_45_R21_2_raw_43	04875_300ng_iH_HeLa_30SPD_FMS_45_R21_2_raw	43	04875_300ng_iH_HeLa_30SPD_FMS_45_R21_2_raw_43	04875_300ng_iH_HeLa_30SPD_FMS_45_R21_2_raw	43	04875_300ng_iH_HeLa_30SPD_FMS_45_R21_2_raw_43
04875_300ng_iH_HeLa_30SPD_FMS-45_R22.raw	Not applicable	HELA	PDAC_26	04875_300ng_iH_HeLa_30SPD_FMS_45_R22_raw	44	04875_300ng_iH_HeLa_30SPD_FMS_45_R22_raw_44	04875_300ng_iH_HeLa_30SPD_FMS_45_R22_raw	44	04875_300ng_iH_HeLa_30SPD_FMS_45_R22_raw_44	04875_300ng_iH_HeLa_30SPD_FMS_45_R22_raw	44	04875_300ng_iH_HeLa_30SPD_FMS_45_R22_raw_44
04875_300ng_iH_HeLa_30SPD_FMS-45_R23.raw	Not applicable	HELA	PDAC_27	04875_300ng_iH_HeLa_30SPD_FMS_45_R23_raw	45	04875_300ng_iH_HeLa_30SPD_FMS_45_R23_raw_45	04875_300ng_iH_HeLa_30SPD_FMS_45_R23_raw	45	04875_300ng_iH_HeLa_30SPD_FMS_45_R23_raw_45	04875_300ng_iH_HeLa_30SPD_FMS_45_R23_raw	45	04875_300ng_iH_HeLa_30SPD_FMS_45_R23_raw_45
04875_300ng_iH_HeLa_30SPD_FMS-45_R24.raw	Not applicable	HELA	PDAC_28	04875_300ng_iH_HeLa_30SPD_FMS_45_R24_raw	46	04875_300ng_iH_HeLa_30SPD_FMS_45_R24_raw_46	04875_300ng_iH_HeLa_30SPD_FMS_45_R24_raw	46	04875_300ng_iH_HeLa_30SPD_FMS_45_R24_raw_46	04875_300ng_iH_HeLa_30SPD_FMS_45_R24_raw	46	04875_300ng_iH_HeLa_30SPD_FMS_45_R24_raw_46
04875_300ng_iH_HeLa_30SPD_FMS-45_R26.raw	Not applicable	HELA	PDAC_29	04875_300ng_iH_HeLa_30SPD_FMS_45_R26_raw	47	04875_300ng_iH_HeLa_30SPD_FMS_45_R26_raw_47	04875_300ng_iH_HeLa_30SPD_FMS_45_R26_raw	47	04875_300ng_iH_HeLa_30SPD_FMS_45_R26_raw_47	04875_300ng_iH_HeLa_30SPD_FMS_45_R26_raw	47	04875_300ng_iH_HeLa_30SPD_FMS_45_R26_raw_47
04875_300ng_iH_HeLa_30SPD_FMS-45_R27.raw	Not applicable	HELA	PDAC_30	04875_300ng_iH_HeLa_30SPD_FMS_45_R27_raw	48	04875_300ng_iH_HeLa_30SPD_FMS_45_R27_raw_48	04875_300ng_iH_HeLa_30SPD_FMS_45_R27_raw	48	04875_300ng_iH_HeLa_30SPD_FMS_45_R27_raw_48	04875_300ng_iH_HeLa_30SPD_FMS_45_R27_raw	48	04875_300ng_iH_HeLa_30SPD_FMS_45_R27_raw_48
04875_300ng_iH_HeLa_30SPD_FMS-45_R28.raw	Not applicable	HELA	PDAC_31	04875_300ng_iH_HeLa_30SPD_FMS_45_R28_raw	49	04875_300ng_iH_HeLa_30SPD_FMS_45_R28_raw_49	04875_300ng_iH_HeLa_30SPD_FMS_45_R28_raw	49	04875_300ng_iH_HeLa_30SPD_FMS_45_R28_raw_49	04875_300ng_iH_HeLa_30SPD_FMS_45_R28_raw	49	04875_300ng_iH_HeLa_30SPD_FMS_45_R28_raw_49
04875_300ng_iH_HeLa_30SPD_FMS-45_R29.raw	Not applicable	HELA	PDAC_32	04875_300ng_iH_HeLa_30SPD_FMS_45_R29_raw	50	04875_300ng_iH_HeLa_30SPD_FMS_45_R29_raw_50	04875_300ng_iH_HeLa_30SPD_FMS_45_R29_raw	50	04875_300ng_iH_HeLa_30SPD_FMS_45_R29_raw_50	04875_300ng_iH_HeLa_30SPD_FMS_45_R29_raw	50	04875_300ng_iH_HeLa_30SPD_FMS_45_R29_raw_50
04875_300ng_iH_HeLa_30SPD_FMS-45_R3.raw	Not applicable	HELA	PDAC_3	04875_300ng_iH_HeLa_30SPD_FMS_45_R3_raw	51	04875_300ng_iH_HeLa_30SPD_FMS_45_R3_raw_51	04875_300ng_iH_HeLa_30SPD_FMS_45_R3_raw	51	04875_300ng_iH_HeLa_30SPD_FMS_45_R3_raw_51	04875_300ng_iH_HeLa_30SPD_FMS_45_R3_raw	51	04875_300ng_iH_HeLa_30SPD_FMS_45_R3_raw_51
