"Protein.Groups","sample_typepoor.logFC","sample_typepoor.adjPval"
"ACM1_HUMAN",-0.120449905423735,0.881174610573481
"ACO13_HUMAN",-0.35306954841229,0.575441549492851
"ACOC_HUMAN",-0.0232377811682052,0.965774447694496
"ACON_HUMAN",-0.373798375812123,0.687093752403044
"ACOT1_HUMAN",-0.166214003040263,0.695967041690466
"ACOT9_HUMAN",-0.00297924592122381,0.995533757596402
"ACOX1_HUMAN",-0.187084247391046,0.790774342950015
"ACPH_HUMAN",0.67266913347548,0.0187007728373642
"ACPM_HUMAN",-0.131947555364377,0.906090046673492
"ACS2L_HUMAN",-0.05632512202034,0.901368578805958
"ACSA_HUMAN",0.345873796782445,0.661201387334346
"ACSF2_HUMAN",0.258917899792258,0.819445706308428
"ACSF3_HUMAN",0.125138111302656,0.762158146478929
"ACSL1_HUMAN",0.841560312450056,0.0859500212389887
"ACSL3_HUMAN",0.406291039046996,0.280419353969402
"ACSL3_HUMAN;ACSL4_HUMAN",0.709116441998898,0.0443908320948775
"ACSL4_HUMAN",0.233040511639784,0.581471386339753
"ACSL6_HUMAN",0.0579519712859627,0.936255402799608
"ACSS3_HUMAN",-0.908767402788047,0.215436906794984
"ACTA_HUMAN;ACTB_HUMAN;ACTC_HUMAN;ACTG_HUMAN;ACTH_HUMAN;ACTS_HUMAN",0.253045140769882,0.62155901640926
"ACTA_HUMAN;ACTB_HUMAN;ACTC_HUMAN;ACTG_HUMAN;ACTH_HUMAN;ACTS_HUMAN;POTEF_HUMAN;POTEI_HUMAN",0.197683116218331,0.554780487468383
"ACTA_HUMAN;ACTB_HUMAN;ACTC_HUMAN;ACTG_HUMAN;ACTH_HUMAN;ACTS_HUMAN;POTEF_HUMAN;POTEI_HUMAN;POTEJ_HUMAN",-1.37510720054674,0.455056436864954
"ACTA_HUMAN;ACTBL_HUMAN;ACTB_HUMAN;ACTC_HUMAN;ACTG_HUMAN;ACTH_HUMAN;ACTS_HUMAN",-0.226431904950927,0.882517782048557
"ACTA_HUMAN;ACTBL_HUMAN;ACTBM_HUMAN;ACTB_HUMAN;ACTC_HUMAN;ACTG_HUMAN;ACTH_HUMAN;ACTS_HUMAN;POTEF_HUMAN",0.132717712843081,0.782135741154415
"ACTA_HUMAN;ACTC_HUMAN;ACTH_HUMAN",-1.00766583521459,0.588693572440072
"ACTA_HUMAN;ACTC_HUMAN;ACTH_HUMAN;ACTS_HUMAN",0.00361549290499608,0.997392428034098
"ACTA_HUMAN;ACTH_HUMAN;ACTS_HUMAN",-2.1264236562331,0.455056436864954
"ACTB_HUMAN",0.652867107158387,0.327789549556292
"ACTB_HUMAN;ACTG_HUMAN",0.298514890888273,0.467360609050126
"ACTB_HUMAN;ACTG_HUMAN;POTEF_HUMAN;POTEI_HUMAN;POTEJ_HUMAN",-1.11273444690571,0.396667378149294
"ACTBL_HUMAN",1.59038863359311,0.328955011786968
"ACTBL_HUMAN;ACTB_HUMAN;ACTG_HUMAN;ACTH_HUMAN;ACTS_HUMAN",-0.422342184916465,0.700221497329442
