"","logFC","pval","adjPval","negLogAdjPval","significant"
"1433B_HUMAN",-1.40594551185831,0.00383541537265336,0.0788665024935895,1.10310741847935,FALSE
"1433B_HUMAN;1433E_HUMAN;1433F_HUMAN;1433G_HUMAN;1433S_HUMAN;1433T_HUMAN;1433Z_HUMAN",-0.901298336292406,0.111093559658828,0.419247451892729,0.377529568274149,FALSE
"1433E_HUMAN",-2.0451543028931,0.000345008396194741,0.024653099962872,1.60812846331892,FALSE
"1433F_HUMAN",-2.25365433386157,0.0127005175518631,0.146479302431488,0.834223736912783,FALSE
"1433G_HUMAN",-2.95142250262424,0.00207347286215263,0.0545069450938251,1.26354815783788,FALSE
"1433T_HUMAN",-0.969007295652969,0.0339989220262992,0.247740722216833,0.606002600679136,FALSE
"1433Z_HUMAN",-2.05643383363365,0.00122439197628798,0.0425736468918087,1.37085914622524,FALSE
"2A5D_HUMAN",0.277088242697866,0.488897196432619,0.776038320448463,0.110116832932007,FALSE
"2A5D_HUMAN;2A5G_HUMAN",0.219965902827881,0.509862502399782,0.79011141695524,0.102311662688028,FALSE
"2A5E_HUMAN",0.446680886181,0.348742916747441,0.683552753338604,0.165227963027726,FALSE
"2AAA_HUMAN",-1.97731048929765,0.000406631501319963,0.0262077989184062,1.5815694520687,FALSE
"2AAA_HUMAN;2AAB_HUMAN",-0.197516801515557,0.751350628013429,0.904123010145284,0.0437724777182742,FALSE
"2ABA_HUMAN",-0.332588089780803,0.351479255715506,0.687276807576959,0.162868311279787,FALSE
"2ABA_HUMAN;2ABD_HUMAN",-0.20719151628964,0.620708506844701,0.843325033051979,0.0740050079914295,FALSE
"2ABG_HUMAN",-0.800134945134722,0.104642638796573,0.408779538583773,0.388510850893296,FALSE
"3BP1_HUMAN",1.66065479467449,0.0222580803862435,0.198810625623865,0.701560408034823,FALSE
"3HIDH_HUMAN",-0.545656310777494,0.151349769100219,0.482225095242394,0.31675019246188,FALSE
"4F2_HUMAN",-1.09518769421791,0.0563175472091683,0.311642723361172,0.50634300912489,FALSE
"5NT3A_HUMAN",-0.240114458590262,0.754297339679619,0.905542496540141,0.0430911637046308,FALSE
"5NTD_HUMAN",1.42812378848381,0.0024509654734563,0.0592376728768446,1.22740201086312,FALSE
"6PGD_HUMAN",-0.116002960985791,0.725655417759887,0.892767673704176,0.0492615435252977,FALSE
"6PGL_HUMAN",-1.17349119619064,0.00392307508029348,0.0789044702828159,1.10289839141462,FALSE
"7B2_HUMAN",0.572591668217086,0.143572714308151,0.472903412601995,0.325227551984007,FALSE
"A1AG1_HUMAN",1.47127679117644,0.0488650685663987,0.290977319524914,0.536140861148286,FALSE
"A1AG1_HUMAN;A1AG2_HUMAN",1.22328675363275,0.169313303110873,0.505938933932219,0.295901898687288,FALSE
"A1AG2_HUMAN",1.05939021212806,0.11497266293329,0.425101398269658,0.371507466522414,FALSE
"A1AT_HUMAN",1.20913486351521,0.0661786341863357,0.335693164460626,0.474057501966927,FALSE
"A2AP_HUMAN",2.97992235074181,0.0221084615453591,0.198553314479769,0.702122858797735,FALSE
"A2GL_HUMAN",-0.254385873962858,0.671573541363343,0.869421910382556,0.0607694193115744,FALSE
"A2MG_HUMAN",0.765727493484012,0.178656158211575,0.515813208376652,0.287507541120824,FALSE
"A2MG_HUMAN;CONTAMINANT_ENSBTAP00000024146;PZP_HUMAN",1.4392996375498,0.0497376528817756,0.29510408848808,0.530024773571838,FALSE
"A2MG_HUMAN;PZP_HUMAN",0.864426653353495,0.294862006194653,0.648230594453022,0.188270475481274,FALSE
"A4_HUMAN",-0.0529891010464504,0.892737347897696,0.964954838059759,0.0154930120866843,FALSE
"AACT_HUMAN",0.117178114248213,0.857845464944736,0.949087190600252,0.0226938880393484,FALSE
"AAK1_HUMAN",-0.880080326433593,0.161808783367556,0.496097002463562,0.304433397066752,FALSE
"AAKB2_HUMAN",-0.0119855183073493,0.984287007221144,0.994558817061777,0.00236952810511901,FALSE
"AAKG1_HUMAN",0.381378049307318,0.170572521677635,0.507395365388586,0.294653503995162,FALSE
"AAKG1_HUMAN;AAKG2_HUMAN",0.111146269029416,0.724213210527123,0.8919028935941,0.0496824270946708,FALSE
"AAKG2_HUMAN",0.610004663398371,0.215344452172331,0.56626977143236,0.246976621227995,FALSE
"AAMP_HUMAN",0.653191105115255,0.381615965100496,0.714334668157934,0.146098272142953,FALSE
"AAPK1_HUMAN",0.4362900248041,0.254009480388593,0.617579026514809,0.209307461415118,FALSE
"AAPK1_HUMAN;AAPK2_HUMAN",0.0154801975015494,0.96784984836738,0.988966030965066,0.00481862530654673,FALSE
"AASD1_HUMAN",0.031401585327369,0.941087586743336,0.98113315953173,0.00827204611109428,FALSE
"AATC_HUMAN",-2.92670414501665,0.00398483178185197,0.0789044702828159,1.10289839141462,FALSE
"AATM_HUMAN",-1.71661572122313,0.082431675181315,0.368643423565962,0.433393509311375,FALSE
"ABCA2_HUMAN",0.179130596690418,0.773262896605839,0.913428672214431,0.0393253601594163,FALSE
"ABCD3_HUMAN",-0.189753841840604,0.549531649211461,0.808530643234765,0.0923035157259492,FALSE
"ABCE1_HUMAN",0.780821298678154,0.159239081992091,0.493791379724532,0.306456495956832,FALSE
"ABCF1_HUMAN",0.823269972763866,0.185789197918528,0.523852541055754,0.280790945112311,FALSE
"ABCF2_HUMAN",0.00871323147394663,0.981309612534859,0.994040621169456,0.00259586792735489,FALSE
"ABD12_HUMAN",0.151395343921006,0.930954742272007,0.980350252848417,0.00861873481446818,FALSE
"ABHDA_HUMAN",-0.683794533797171,0.103124017253097,0.406437223874017,0.391006523699619,FALSE
"ABHDB_HUMAN",-0.317483231245171,0.441211809181817,0.748329833220141,0.125906940672169,FALSE
"ABHEB_HUMAN",-0.19733372752314,0.722072157650065,0.89156382347473,0.049847561977409,FALSE
"ABI1_HUMAN",-0.00180458878849482,0.99901863734739,0.999626867872411,0.000162079464441195,FALSE
"ABI1_HUMAN;ABI2_HUMAN",0.187244053676964,0.61976958300539,0.843255439541222,0.0740408486503325,FALSE
"ABI2_HUMAN",0.376613735794295,0.540983323251462,0.802804597529371,0.095390149044643,FALSE
"ABLM1_HUMAN",0.648208919323355,0.258257837787145,0.621252885338347,0.206731581222615,FALSE
"ABLM2_HUMAN",0.548787658205993,0.129170076063426,0.452164046880172,0.344703972867048,FALSE
"ABR_HUMAN",0.455148636006943,0.413623941033547,0.72925047450268,0.137123279622989,FALSE
"ABR_HUMAN;BCR_HUMAN",-0.0600472557717613,0.912259536245731,0.973218771214383,0.011789523090782,FALSE
"ACACA_HUMAN",0.379250824983279,0.197543576480905,0.542008126788592,0.265994201666444,FALSE
"ACACA_HUMAN;ACACB_HUMAN",-0.198697518021235,0.431379594141507,0.742768321604575,0.129146626803154,FALSE
"ACAD8_HUMAN",-0.686136796857802,0.221541369572288,0.572489372471785,0.242232571031219,FALSE
"ACAD9_HUMAN",-0.234692360943405,0.466309219808972,0.762531383010624,0.117742277636434,FALSE
"ACADM_HUMAN",-0.0382931508995891,0.930590599396887,0.980350252848417,0.00861873481446818,FALSE
