"Protein.Groups","sample_typenot_brain.logFC","sample_typenot_brain.pval","sample_typenot_brain.adjPval"
"ADAS_HUMAN",-1.02528622667625,0.0548763086418571,0.169484768317027
"ADCY1_HUMAN",0.370802852602406,0.384156094564303,0.562590928591776
"ADDA_HUMAN",-1.03931907714797,0.00942321692505826,0.0639879196774812
"ADDA_HUMAN;ADDB_HUMAN",NA,NA,NA
"ADK_HUMAN",-0.034640098205155,0.8905199962043,0.946209723818697
"ADNP_HUMAN",NA,NA,NA
"AFAD_HUMAN",0.400361860149944,0.101423508830505,0.243130834542516
"AFF3_HUMAN",NA,NA,NA
"AFG1L_HUMAN",0.163592289230969,0.52969593215023,0.692199875703582
"AGAL_HUMAN",-0.713998041014195,0.0842652900075039,0.218711627429224
"AGAP1_HUMAN",0.405105003950611,0.281479982755252,0.462413400497661
"AGAP1_HUMAN;AGAP3_HUMAN",0.586037797816456,0.173259002516837,0.34149330786079
"AGAP2_HUMAN",0.543821231870566,0.00112932372417852,0.018178149419891
"AGAP3_HUMAN",0.119893350418073,0.638221456337571,0.780237423304093
"AGFG1_HUMAN",-0.14540401605511,0.305390611079188,0.484348981270795
"AGK_HUMAN",-0.82585011844122,0.00641615769632688,0.0506480757082916
"AGM1_HUMAN",-0.624770050508318,0.00114010631625759,0.0181921312202842
"AGRB1_HUMAN",0.680412699086883,0.10399956279333,0.245605936456063
"AGRB2_HUMAN",0.0537925314866819,0.895125343004254,0.948144519276087
"AGRB3_HUMAN",NA,NA,NA
"AGRG1_HUMAN",-0.367658256400535,0.46406844064539,0.633134266605421
"AGRL3_HUMAN",0.190046414122748,0.415197537268956,0.590397163989581
"AHSA1_HUMAN",-0.30261837906743,0.201842863271122,0.375036155722344
"AIF1_HUMAN",0.8900681611316,0.0782458642081884,0.209913977809979
"AIF1L_HUMAN",NA,NA,NA
"AIFM3_HUMAN",0.0370978132307722,0.859026094389668,0.931626999530166
"AJAP1_HUMAN",NA,NA,NA
"AK1C3_HUMAN",0.122565800105786,0.683110539808854,0.815170913905903
"AKA10_HUMAN",-0.0232978651600865,0.918844762746629,0.959635822219729
"AKAP9_HUMAN",NA,NA,NA
"AKCL2_HUMAN",-0.366530026169535,0.0244878745783241,0.107911924789365
"AKT3_HUMAN",-0.0721919047450086,0.822890054622241,0.906755253498404
"AL1A3_HUMAN",-0.967348871126238,0.0402868136084825,0.143546219362263
"AL1L2_HUMAN",NA,NA,NA
"AL3A2_HUMAN",-0.0476812076709323,0.802286932628293,0.893323131901042
"AL7A1_HUMAN",-0.632213069044771,0.0336117636414688,0.128227830108306
"ALBU_HUMAN",-0.295640641295683,0.338632456792993,0.519123273362692
"ALBU_HUMAN;CONTAMINANT_ALBU_BOVIN",-0.185204638775065,0.583482979303379,0.738917368544997
"ALDOA_HUMAN",-0.821133441205706,0.0303999462196191,0.119451608807283
